t_ms,ax,ay,az,gx,gy,gz
1375683.0,-192.0,2112.0,32767.0,14183.0,5243.0,193.0
1375787.0,-6092.0,1916.0,16100.0,-5827.0,-2719.0,-1543.0
1375891.0,-812.0,332.0,14372.0,-2809.0,-1893.0,-1027.0
1375995.0,-5624.0,1844.0,15664.0,60.0,-2078.0,2263.0
1376099.0,23324.0,-3504.0,-660.0,-3592.0,18874.0,-2322.0
1376203.0,-30132.0,-736.0,14004.0,1396.0,-4537.0,-864.0
1376307.0,32767.0,-5992.0,17348.0,-2641.0,6667.0,-3979.0
1376411.0,-25048.0,1488.0,8016.0,-1328.0,1199.0,-4146.0
1376515.0,17432.0,2336.0,11856.0,2724.0,159.0,9507.0
1376619.0,-10112.0,2048.0,8220.0,-995.0,-1005.0,-10459.0
1376723.0,224.0,1656.0,13884.0,2778.0,5812.0,21114.0
1376827.0,9564.0,2120.0,11192.0,4032.0,-134.0,-16014.0
1376931.0,-27164.0,2536.0,15724.0,-452.0,-12196.0,16069.0
1377035.0,31160.0,-148.0,26936.0,3345.0,3809.0,-12762.0
1377139.0,-32768.0,456.0,12888.0,1700.0,-1950.0,1648.0
1377243.0,32767.0,-10536.0,31832.0,-4161.0,6982.0,-2280.0
1377347.0,-32768.0,-80.0,11860.0,2743.0,8694.0,-1272.0
1377451.0,25892.0,-2380.0,19936.0,656.0,-8635.0,-8142.0
1377555.0,-28396.0,3968.0,13756.0,2569.0,2473.0,-9825.0
1377664.0,21172.0,-2068.0,9400.0,-4367.0,4118.0,13330.0
1377768.0,-16908.0,2692.0,5504.0,-4563.0,-5995.0,-13395.0
1377872.0,9512.0,584.0,16360.0,-1226.0,6501.0,19468.0
1377976.0,-3476.0,2540.0,3808.0,1070.0,-9783.0,-17090.0
1378080.0,-7660.0,2796.0,18048.0,722.0,-9865.0,21613.0
1378184.0,9072.0,2060.0,5656.0,4720.0,-2264.0,-18017.0
1378288.0,-23884.0,4452.0,11996.0,-133.0,-8323.0,19445.0
1378392.0,23448.0,-556.0,15380.0,5603.0,6697.0,-14470.0
1378496.0,-32768.0,1368.0,10512.0,-990.0,-10170.0,9857.0
1378600.0,32767.0,22248.0,26656.0,1650.0,10642.0,-6909.0
1378704.0,-32768.0,1432.0,13728.0,2256.0,-964.0,3879.0
1378808.0,32767.0,-16804.0,25292.0,-5716.0,12855.0,-191.0
1378912.0,-32768.0,524.0,16360.0,1493.0,2152.0,-3156.0
1379016.0,29128.0,-6572.0,18336.0,-1325.0,1776.0,-5454.0
1379120.0,-32768.0,2436.0,17068.0,67.0,4382.0,-8018.0
1379224.0,25856.0,216.0,10996.0,-8450.0,-3187.0,803.0
1379328.0,-12772.0,3500.0,17948.0,184.0,-323.0,-6449.0
1379432.0,-1872.0,-2116.0,9460.0,-955.0,-2008.0,914.0
1379536.0,936.0,440.0,18656.0,527.0,1335.0,151.0
1379640.0,-1572.0,-248.0,16548.0,511.0,1015.0,513.0
1379749.0,-2760.0,20.0,14640.0,199.0,2708.0,-66.0
1379853.0,-1120.0,408.0,15172.0,-36.0,-93.0,-210.0
1379957.0,-1896.0,200.0,14732.0,-103.0,-1210.0,-152.0
1380061.0,652.0,-284.0,20328.0,-906.0,-11420.0,-347.0
1380165.0,476.0,-380.0,16012.0,-266.0,-176.0,35.0
1380269.0,316.0,-604.0,15140.0,-415.0,28.0,-12.0
1380373.0,528.0,-516.0,15300.0,-105.0,15.0,267.0
1380477.0,608.0,-468.0,15036.0,-496.0,-1217.0,-309.0
1380581.0,88.0,-44.0,15572.0,-234.0,319.0,-117.0
1380685.0,764.0,-572.0,15216.0,-135.0,39.0,79.0
1380789.0,488.0,-660.0,15180.0,-135.0,77.0,16.0
1380893.0,360.0,-332.0,15260.0,-112.0,212.0,183.0
1380997.0,688.0,-568.0,15372.0,-53.0,69.0,84.0
1381101.0,728.0,-596.0,15360.0,-108.0,-13.0,4.0
1381205.0,584.0,-640.0,15048.0,-113.0,-38.0,41.0
1381309.0,432.0,-472.0,15172.0,-105.0,19.0,182.0
1381413.0,-4760.0,-4104.0,32767.0,5954.0,-3277.0,-1120.0
1381517.0,-696.0,-2076.0,468.0,-7581.0,7182.0,-2214.0
1381621.0,3904.0,3880.0,32767.0,-901.0,-4172.0,4515.0
1381725.0,2136.0,-3416.0,-7668.0,-2391.0,10230.0,-1236.0
1381834.0,3008.0,-1456.0,32767.0,600.0,-4509.0,1655.0
1381938.0,-140.0,-756.0,-6324.0,-5782.0,8308.0,595.0
1382042.0,3744.0,-316.0,32767.0,1885.0,-7687.0,607.0
1382146.0,-1252.0,720.0,-1024.0,-3440.0,3501.0,-215.0
1382250.0,9396.0,-3412.0,32767.0,-588.0,-7921.0,2065.0
1382354.0,-2024.0,-100.0,6056.0,-2024.0,6360.0,595.0
1382458.0,-276.0,-1788.0,7536.0,8524.0,-8006.0,32.0
1382562.0,920.0,-2728.0,16128.0,3373.0,2867.0,-1569.0
1382666.0,1212.0,-408.0,-4636.0,-227.0,-1759.0,-87.0
1382770.0,-856.0,-372.0,27760.0,-4977.0,12020.0,4775.0
1382874.0,-460.0,-468.0,-8512.0,-3201.0,2029.0,630.0
1382978.0,6656.0,-15288.0,32767.0,12609.0,-17248.0,-1897.0
1383082.0,-1296.0,-576.0,596.0,-1867.0,4817.0,420.0
1383186.0,3452.0,972.0,23104.0,427.0,-6367.0,-1218.0
1383290.0,-76.0,-9408.0,-16756.0,14951.0,21278.0,1079.0
1383394.0,480.0,-1208.0,14328.0,-651.0,-1090.0,-1378.0
1383498.0,-868.0,-1980.0,15396.0,-4259.0,-15335.0,1405.0
1383602.0,448.0,-796.0,15780.0,-173.0,-168.0,72.0
1383706.0,548.0,-872.0,14884.0,-91.0,7.0,11.0
1383810.0,-1148.0,-920.0,10256.0,-7370.0,-726.0,-1214.0
1383919.0,956.0,-484.0,14068.0,-108.0,271.0,-67.0
1384023.0,600.0,-836.0,14796.0,-59.0,-59.0,-5.0
1384127.0,512.0,-928.0,15020.0,-60.0,32.0,-1.0
1384231.0,576.0,-764.0,15172.0,-100.0,-67.0,10.0
1384335.0,716.0,-972.0,15136.0,-115.0,-42.0,22.0
1384439.0,448.0,-856.0,15232.0,-98.0,-16.0,16.0
1384543.0,580.0,-900.0,15196.0,-93.0,-32.0,38.0
1384647.0,588.0,-844.0,15152.0,-105.0,-28.0,30.0
1384751.0,592.0,-928.0,15112.0,-97.0,-19.0,15.0
1384855.0,480.0,-804.0,15188.0,-85.0,-34.0,37.0
1384959.0,528.0,-772.0,15276.0,-104.0,-33.0,25.0
1385063.0,584.0,-852.0,15072.0,-98.0,-45.0,39.0
1385167.0,504.0,-812.0,15088.0,-111.0,-45.0,29.0
1385271.0,568.0,-824.0,15480.0,-204.0,-167.0,45.0
1385375.0,584.0,-836.0,15092.0,-100.0,-128.0,31.0
1385479.0,504.0,-824.0,15240.0,-80.0,2.0,11.0
1385583.0,460.0,-792.0,15220.0,35.0,14.0,10.0
1385687.0,480.0,-952.0,15340.0,-106.0,47.0,15.0
1385791.0,504.0,-760.0,15284.0,-81.0,-33.0,68.0
1385895.0,504.0,-852.0,15152.0,-99.0,-27.0,-8.0
1386004.0,512.0,-828.0,15220.0,-38.0,29.0,0.0
1386108.0,548.0,-780.0,15040.0,-72.0,-26.0,40.0
1386212.0,516.0,-708.0,15224.0,-106.0,-14.0,16.0
1386316.0,480.0,-756.0,15192.0,-144.0,-26.0,19.0
1386420.0,-1168.0,-1284.0,9772.0,-14097.0,-7987.0,2087.0
1386524.0,-1004.0,-1744.0,16640.0,1400.0,-787.0,-917.0
1386628.0,568.0,-992.0,14328.0,147.0,145.0,-25.0
1386732.0,456.0,-756.0,15396.0,-124.0,-143.0,34.0
1386836.0,516.0,-824.0,14812.0,-88.0,-40.0,22.0
1386940.0,436.0,-752.0,15264.0,-88.0,-13.0,20.0
1387044.0,484.0,-892.0,15004.0,-109.0,-46.0,8.0
1387148.0,548.0,-776.0,15164.0,-103.0,-18.0,25.0
1387252.0,396.0,-848.0,15176.0,-103.0,-20.0,19.0
1387356.0,452.0,-792.0,15184.0,-103.0,-22.0,31.0
1387460.0,548.0,-780.0,15340.0,-105.0,-19.0,30.0
1387564.0,472.0,-836.0,15172.0,-125.0,-74.0,43.0
1387668.0,512.0,-912.0,15208.0,-93.0,-6.0,26.0
1387772.0,432.0,-724.0,15424.0,-152.0,29.0,0.0
1387876.0,388.0,-912.0,15376.0,-73.0,-57.0,2.0
1387980.0,520.0,-904.0,15032.0,-127.0,-89.0,43.0
1388089.0,456.0,-852.0,15216.0,-92.0,-45.0,21.0
1388193.0,432.0,-908.0,15144.0,-56.0,-30.0,12.0
1388297.0,544.0,-804.0,15180.0,9.0,-16.0,14.0
1388401.0,584.0,-964.0,14628.0,3.0,81.0,-17.0
1388505.0,600.0,-800.0,15036.0,-138.0,55.0,33.0
1388609.0,408.0,-848.0,15312.0,-99.0,-46.0,16.0
1388713.0,424.0,-852.0,15224.0,-121.0,-59.0,33.0
1388817.0,640.0,-804.0,15340.0,-99.0,-23.0,17.0
1388921.0,500.0,-888.0,15368.0,-96.0,-13.0,8.0
1389025.0,520.0,-840.0,15332.0,-21.0,-2.0,13.0
1389129.0,436.0,-804.0,15068.0,-122.0,-52.0,27.0
1389233.0,424.0,-828.0,15248.0,-90.0,-81.0,8.0
1389337.0,352.0,-948.0,15236.0,-25.0,43.0,28.0
1389441.0,560.0,-756.0,15220.0,-97.0,-22.0,39.0
1389545.0,536.0,-744.0,15176.0,-118.0,-4.0,17.0
1389649.0,412.0,-788.0,15088.0,-127.0,-30.0,15.0
1389753.0,504.0,-904.0,15144.0,-135.0,-73.0,33.0
1389857.0,548.0,-768.0,15108.0,-58.0,11.0,47.0
1389961.0,572.0,-792.0,14992.0,-133.0,-69.0,27.0
1390065.0,516.0,-820.0,15152.0,-91.0,-7.0,14.0
1390174.0,556.0,-800.0,15284.0,-85.0,-14.0,31.0
1390278.0,560.0,-760.0,15164.0,-116.0,-32.0,39.0
1390382.0,496.0,-752.0,15220.0,-102.0,-46.0,33.0
1390486.0,416.0,-720.0,15248.0,-101.0,-34.0,25.0
1390590.0,408.0,-792.0,15180.0,-129.0,-47.0,49.0
1390694.0,384.0,-784.0,15088.0,-91.0,-44.0,28.0
1390798.0,516.0,-860.0,15236.0,-81.0,-50.0,15.0
1390902.0,472.0,-744.0,15344.0,-91.0,-51.0,34.0
1391006.0,572.0,-792.0,15164.0,-86.0,-52.0,48.0
1391110.0,544.0,-752.0,15164.0,-97.0,-28.0,3.0
1391214.0,488.0,-844.0,15236.0,-117.0,-39.0,15.0
1391318.0,564.0,-756.0,15152.0,-83.0,-35.0,35.0
1391422.0,516.0,-764.0,15124.0,-111.0,-48.0,35.0
1391526.0,604.0,-828.0,15128.0,-101.0,-35.0,11.0
1391630.0,480.0,-836.0,15252.0,-88.0,-50.0,26.0
1391734.0,604.0,-852.0,15132.0,-108.0,-44.0,13.0
1391838.0,556.0,-800.0,15244.0,-95.0,-36.0,41.0
1391942.0,408.0,-776.0,15296.0,-84.0,-10.0,5.0
1392046.0,488.0,-872.0,15260.0,-104.0,-49.0,15.0
1392150.0,572.0,-872.0,14860.0,-149.0,28.0,4.0
1392259.0,500.0,-792.0,15112.0,-96.0,-14.0,18.0
1392363.0,496.0,-788.0,15128.0,-86.0,-60.0,47.0
1392467.0,580.0,-824.0,14996.0,-73.0,-38.0,15.0
1392571.0,500.0,-716.0,15188.0,-83.0,-18.0,19.0
1392675.0,500.0,-828.0,15212.0,-121.0,-43.0,-3.0
1392779.0,532.0,-796.0,15032.0,-95.0,-34.0,23.0
1392883.0,448.0,-808.0,15148.0,-125.0,-51.0,22.0
